filename,width,height,class,xmin,ymin,xmax,ymax,
s57614733.jpg,440,512,r_normal_shoulder,0,69,76,174,
s52712730.jpg,512,426,r_normal_shoulder,3,58,88,180,
s52712730.jpg,512,426,l_normal_shoulder,410,39,488,135,
s58677106.jpg,512,426,r_normal_shoulder,46,0,143,87,
s58677106.jpg,512,426,l_normal_shoulder,386,1,489,83,
s58581831.jpg,426,512,r_normal_shoulder,14,108,107,232,
s58581831.jpg,426,512,l_normal_shoulder,366,86,426,190,
s50394483.jpg,512,446,l_normal_shoulder,431,54,512,162,
s55950210.jpg,426,512,l_normal_shoulder,359,69,398,175,
s59608935.jpg,421,512,r_normal_shoulder,4,69,77,208,
s54154294.jpg,426,512,l_normal_shoulder,357,118,423,214,
s53209795.jpg,440,512,r_normal_shoulder,5,56,61,188,
s57065849.jpg,426,512,l_normal_shoulder,349,89,420,210,
s51788560.jpg,426,512,l_normal_shoulder,353,76,425,189,
s57466870.jpg,426,512,r_normal_shoulder,10,55,68,140,
s51818744.jpg,512,426,r_normal_shoulder,37,58,83,165,
s51818744.jpg,512,426,l_normal_shoulder,442,63,492,157,
s59865685.jpg,512,426,r_normal_shoulder,2,65,66,195,
s56717775.jpg,461,512,r_normal_shoulder,2,87,50,179,
s56717775.jpg,461,512,l_normal_shoulder,392,78,457,171,
s57165045.jpg,374,512,r_normal_shoulder,15,65,71,179,
s53953883.jpg,426,512,r_normal_shoulder,2,133,42,232,
s55698800.jpg,426,512,r_dislocated_shoulder,14,31,132,163,
s56268211.jpg,426,512,l_dislocated_shoulder,327,45,419,162,
s50018480.jpg,426,512,r_dislocated_shoulder,17,93,112,243,
s58324507.jpg,512,426,l_dislocated_shoulder,423,114,512,242,
s59605437.jpg,426,512,l_dislocated_shoulder,296,166,376,281,
s52348554.jpg,426,512,r_dislocated_shoulder,1,148,81,273,
s53104248.jpg,426,512,l_dislocated_shoulder,334,107,426,236,
s53622657.jpg,512,426,l_dislocated_shoulder,341,80,454,173,
s56338562.jpg,426,512,l_dislocated_shoulder,351,101,426,223,
s50222995.jpg,415,512,l_dislocated_shoulder,376,65,415,167,
s58876976.jpg,426,512,r_dislocated_shoulder,18,56,127,192,
s50724998.jpg,426,512,l_dislocated_shoulder,292,72,384,174,
s59861084.jpg,512,426,r_dislocated_shoulder,13,102,108,267,
s52506968.jpg,512,426,l_dislocated_shoulder,390,67,489,197,
s52712640.jpg,512,452,r_dislocated_shoulder,395,94,494,210,
s56160964.jpg,426,512,l_dislocated_shoulder,285,128,375,226,
